climatic_year;date;value
2000;1900-01-01 00:00:00;23400.55
2000;1900-01-01 01:00:00;22848.56
2000;1900-01-01 02:00:00;22146.00
2000;1900-01-01 03:00:00;21864.42
2000;1900-01-01 04:00:00;22133.07
2000;1900-01-01 05:00:00;23114.72
2000;1900-01-01 06:00:00;23812.46
2000;1900-01-01 07:00:00;24637.30
2000;1900-01-01 08:00:00;25479.28
2000;1900-01-01 09:00:00;25789.51
2000;1900-01-01 10:00:00;26299.37
2000;1900-01-01 11:00:00;26287.77
2000;1900-01-01 12:00:00;26436.88
2000;1900-01-01 13:00:00;26400.29
2000;1900-01-01 14:00:00;26320.41
2000;1900-01-01 15:00:00;26624.50
2000;1900-01-01 16:00:00;27759.91
2000;1900-01-01 17:00:00;29453.29
2000;1900-01-01 18:00:00;29485.44
2000;1900-01-01 19:00:00;28210.15
2000;1900-01-01 20:00:00;27183.10
2000;1900-01-01 21:00:00;26935.39
2000;1900-01-01 22:00:00;25993.97
2000;1900-01-01 23:00:00;26632.20
2000;1900-01-02 00:00:00;25048.13
2000;1900-01-02 01:00:00;24176.16
2000;1900-01-02 02:00:00;23556.59
2000;1900-01-02 03:00:00;23480.76
2000;1900-01-02 04:00:00;23950.12
2000;1900-01-02 05:00:00;25267.57
2000;1900-01-02 06:00:00;26978.30
2000;1900-01-02 07:00:00;27364.35
2000;1900-01-02 08:00:00;30346.97
2000;1900-01-02 09:00:00;31156.51
2000;1900-01-02 10:00:00;31314.06
2000;1900-01-02 11:00:00;31231.45
2000;1900-01-02 12:00:00;30863.51
2000;1900-01-02 13:00:00;30836.56
2000;1900-01-02 14:00:00;30835.42
2000;1900-01-02 15:00:00;30383.60
2000;1900-01-02 16:00:00;30334.57
2000;1900-01-02 17:00:00;30483.85
2000;1900-01-02 18:00:00;29776.37
2000;1900-01-02 19:00:00;28638.21
2000;1900-01-02 20:00:00;27206.71
2000;1900-01-02 21:00:00;26223.95
2000;1900-01-02 22:00:00;25476.39
2000;1900-01-02 23:00:00;26495.84
2000;1900-01-03 00:00:00;25251.27
2000;1900-01-03 01:00:00;24332.29
2000;1900-01-03 02:00:00;23619.31
2000;1900-01-03 03:00:00;23491.12
2000;1900-01-03 04:00:00;24084.78
2000;1900-01-03 05:00:00;25565.08
2000;1900-01-03 06:00:00;27338.01
2000;1900-01-03 07:00:00;27832.58
2000;1900-01-03 08:00:00;31116.35
2000;1900-01-03 09:00:00;31791.74
2000;1900-01-03 10:00:00;31972.00
2000;1900-01-03 11:00:00;31841.76
2000;1900-01-03 12:00:00;31584.16
2000;1900-01-03 13:00:00;31797.16
2000;1900-01-03 14:00:00;31552.78
2000;1900-01-03 15:00:00;31055.07
2000;1900-01-03 16:00:00;30699.32
2000;1900-01-03 17:00:00;30711.40
2000;1900-01-03 18:00:00;29716.14
2000;1900-01-03 19:00:00;28394.20
2000;1900-01-03 20:00:00;26947.78
2000;1900-01-03 21:00:00;26114.01
2000;1900-01-03 22:00:00;25531.34
2000;1900-01-03 23:00:00;26541.47
2000;1900-01-04 00:00:00;25160.88
2000;1900-01-04 01:00:00;24250.28
