climatic_year;date;value
2000;1900-01-01 00:00:00;48494.86
2000;1900-01-01 01:00:00;44952.01
2000;1900-01-01 02:00:00;44380.50
2000;1900-01-01 03:00:00;44359.83
2000;1900-01-01 04:00:00;44708.65
2000;1900-01-01 05:00:00;47576.42
2000;1900-01-01 06:00:00;51509.43
2000;1900-01-01 07:00:00;54663.26
2000;1900-01-01 08:00:00;56839.34
2000;1900-01-01 09:00:00;59320.79
2000;1900-01-01 10:00:00;61849.20
2000;1900-01-01 11:00:00;62178.08
2000;1900-01-01 12:00:00;61745.22
2000;1900-01-01 13:00:00;60930.09
2000;1900-01-01 14:00:00;60897.50
2000;1900-01-01 15:00:00;62789.82
2000;1900-01-01 16:00:00;66096.62
2000;1900-01-01 17:00:00;66168.58
2000;1900-01-01 18:00:00;64880.57
2000;1900-01-01 19:00:00;61685.71
2000;1900-01-01 20:00:00;58969.10
2000;1900-01-01 21:00:00;57111.24
2000;1900-01-01 22:00:00;53648.71
2000;1900-01-01 23:00:00;50723.88
2000;1900-01-02 00:00:00;52924.62
2000;1900-01-02 01:00:00;51813.02
2000;1900-01-02 02:00:00;52017.26
2000;1900-01-02 03:00:00;53870.51
2000;1900-01-02 04:00:00;57812.18
2000;1900-01-02 05:00:00;62741.27
2000;1900-01-02 06:00:00;66981.81
2000;1900-01-02 07:00:00;69426.91
2000;1900-01-02 08:00:00;71307.20
2000;1900-01-02 09:00:00;72987.75
2000;1900-01-02 10:00:00;74614.57
2000;1900-01-02 11:00:00;75408.06
2000;1900-01-02 12:00:00;74857.33
2000;1900-01-02 13:00:00;73865.73
2000;1900-01-02 14:00:00;73310.48
2000;1900-01-02 15:00:00;74952.90
2000;1900-01-02 16:00:00;78506.57
2000;1900-01-02 17:00:00;78706.56
2000;1900-01-02 18:00:00;76871.86
2000;1900-01-02 19:00:00;72645.24
2000;1900-01-02 20:00:00;68187.92
2000;1900-01-02 21:00:00;64879.51
2000;1900-01-02 22:00:00;60480.15
2000;1900-01-02 23:00:00;56973.44
2000;1900-01-03 00:00:00;53897.37
2000;1900-01-03 01:00:00;52736.60
2000;1900-01-03 02:00:00;52973.92
2000;1900-01-03 03:00:00;54782.98
2000;1900-01-03 04:00:00;58706.56
2000;1900-01-03 05:00:00;63703.71
2000;1900-01-03 06:00:00;67992.42
2000;1900-01-03 07:00:00;70463.73
2000;1900-01-03 08:00:00;72293.83
2000;1900-01-03 09:00:00;73902.18
2000;1900-01-03 10:00:00;75540.58
2000;1900-01-03 11:00:00;76260.58
2000;1900-01-03 12:00:00;75694.41
2000;1900-01-03 13:00:00;74634.68
2000;1900-01-03 14:00:00;74199.01
2000;1900-01-03 15:00:00;75764.56
2000;1900-01-03 16:00:00;79311.20
2000;1900-01-03 17:00:00;79478.53
2000;1900-01-03 18:00:00;77556.01
2000;1900-01-03 19:00:00;73252.31
2000;1900-01-03 20:00:00;68901.89
2000;1900-01-03 21:00:00;65608.99
2000;1900-01-03 22:00:00;61111.51
2000;1900-01-03 23:00:00;57577.89
2000;1900-01-04 00:00:00;54530.20
2000;1900-01-04 01:00:00;53398.79
2000;1900-01-04 02:00:00;53559.71
2000;1900-01-04 03:00:00;55258.59
2000;1900-01-04 04:00:00;58875.43
2000;1900-01-04 05:00:00;63842.57
2000;1900-01-04 06:00:00;68197.33
2000;1900-01-04 07:00:00;70674.97
2000;1900-01-04 08:00:00;72477.76
2000;1900-01-04 09:00:00;74146.90
2000;1900-01-04 10:00:00;75744.30
2000;1900-01-04 11:00:00;76492.14
2000;1900-01-04 12:00:00;76145.10
2000;1900-01-04 13:00:00;75194.55
2000;1900-01-04 14:00:00;74880.38
2000;1900-01-04 15:00:00;76181.39
2000;1900-01-04 16:00:00;79254.05
2000;1900-01-04 17:00:00;79322.34
2000;1900-01-04 18:00:00;77330.68
2000;1900-01-04 19:00:00;72948.63
2000;1900-01-04 20:00:00;68532.43
2000;1900-01-04 21:00:00;65218.75
2000;1900-01-04 22:00:00;60698.30
2000;1900-01-04 23:00:00;57089.19
2000;1900-01-05 00:00:00;53959.47
2000;1900-01-05 01:00:00;52894.20
2000;1900-01-05 02:00:00;53286.67
2000;1900-01-05 03:00:00;55173.09
2000;1900-01-05 04:00:00;58902.28
2000;1900-01-05 05:00:00;63942.85
2000;1900-01-05 06:00:00;68606.41
2000;1900-01-05 07:00:00;71264.24
2000;1900-01-05 08:00:00;73073.33
2000;1900-01-05 09:00:00;73979.22
2000;1900-01-05 10:00:00;75014.52
2000;1900-01-05 11:00:00;74864.16
2000;1900-01-05 12:00:00;73593.54
2000;1900-01-05 13:00:00;72061.89
2000;1900-01-05 14:00:00;71550.01
2000;1900-01-05 15:00:00;73438.81
2000;1900-01-05 16:00:00;77478.98
2000;1900-01-05 17:00:00;77414.79
2000;1900-01-05 18:00:00;75339.63
2000;1900-01-05 19:00:00;71105.25
2000;1900-01-05 20:00:00;67255.26
2000;1900-01-05 21:00:00;64722.40
2000;1900-01-05 22:00:00;60691.64
2000;1900-01-05 23:00:00;57053.68
2000;1900-01-06 00:00:00;54966.32
2000;1900-01-06 01:00:00;53198.44
2000;1900-01-06 02:00:00;52358.79
2000;1900-01-06 03:00:00;51742.08
2000;1900-01-06 04:00:00;50917.28
2000;1900-01-06 05:00:00;52617.00
2000;1900-01-06 06:00:00;56670.36
2000;1900-01-06 07:00:00;60349.08
2000;1900-01-06 08:00:00;65177.96
2000;1900-01-06 09:00:00;66416.66
2000;1900-01-06 10:00:00;67577.41
2000;1900-01-06 11:00:00;67218.44
2000;1900-01-06 12:00:00;65683.62
2000;1900-01-06 13:00:00;64546.91
2000;1900-01-06 14:00:00;64501.31
2000;1900-01-06 15:00:00;66679.30
2000;1900-01-06 16:00:00;71174.29
2000;1900-01-06 17:00:00;71226.34
2000;1900-01-06 18:00:00;69146.40
2000;1900-01-06 19:00:00;65171.57
2000;1900-01-06 20:00:00;62497.22
2000;1900-01-06 21:00:00;61162.96
2000;1900-01-06 22:00:00;57390.57
2000;1900-01-06 23:00:00;53843.47
2000;1900-01-07 00:00:00;51510.60
2000;1900-01-07 01:00:00;49648.12
2000;1900-01-07 02:00:00;48735.30
2000;1900-01-07 03:00:00;48047.63
2000;1900-01-07 04:00:00;46527.52
2000;1900-01-07 05:00:00;47501.24
2000;1900-01-07 06:00:00;51326.72
2000;1900-01-07 07:00:00;54850.13
2000;1900-01-07 08:00:00;57374.42
2000;1900-01-07 09:00:00;60249.07
2000;1900-01-07 10:00:00;62790.62
2000;1900-01-07 11:00:00;62766.95
2000;1900-01-07 12:00:00;61371.05
2000;1900-01-07 13:00:00;60227.31
2000;1900-01-07 14:00:00;60426.10
2000;1900-01-07 15:00:00;62777.68
2000;1900-01-07 16:00:00;67265.99
2000;1900-01-07 17:00:00;68176.00
2000;1900-01-07 18:00:00;67319.84
2000;1900-01-07 19:00:00;64548.22
2000;1900-01-07 20:00:00;62840.84
2000;1900-01-07 21:00:00;61824.94
2000;1900-01-07 22:00:00;58412.92
2000;1900-01-07 23:00:00;55430.36
2000;1900-01-08 00:00:00;53886.17
2000;1900-01-08 01:00:00;52893.87
2000;1900-01-08 02:00:00;53436.62
2000;1900-01-08 03:00:00;55893.59
2000;1900-01-08 04:00:00;60917.89
2000;1900-01-08 05:00:00;68117.21
2000;1900-01-08 06:00:00;74189.52
2000;1900-01-08 07:00:00;76734.58
2000;1900-01-08 08:00:00;77866.81
2000;1900-01-08 09:00:00;79199.82
2000;1900-01-08 10:00:00;80509.73
2000;1900-01-08 11:00:00;81236.81
2000;1900-01-08 12:00:00;80891.69
2000;1900-01-08 13:00:00;79923.16
2000;1900-01-08 14:00:00;79190.47
2000;1900-01-08 15:00:00;80143.78
2000;1900-01-08 16:00:00;83016.52
2000;1900-01-08 17:00:00;82919.66
2000;1900-01-08 18:00:00;81112.81
2000;1900-01-08 19:00:00;76487.96
2000;1900-01-08 20:00:00;72033.62
2000;1900-01-08 21:00:00;68629.13
2000;1900-01-08 22:00:00;63978.35
2000;1900-01-08 23:00:00;60348.19
2000;1900-01-09 00:00:00;57552.66
