climatic_year;date;value
2000;1900-01-01 00:00:00;76098
2000;1900-01-01 01:00:00;73311
2000;1900-01-01 02:00:00;70972
2000;1900-01-01 03:00:00;67414
2000;1900-01-01 04:00:00;63854
2000;1900-01-01 05:00:00;64383
2000;1900-01-01 06:00:00;65371
2000;1900-01-01 07:00:00;66367
2000;1900-01-01 08:00:00;67737
2000;1900-01-01 09:00:00;69160
2000;1900-01-01 10:00:00;70799
2000;1900-01-01 11:00:00;72435
2000;1900-01-01 12:00:00;69948
2000;1900-01-01 13:00:00;67687
2000;1900-01-01 14:00:00;66444
2000;1900-01-01 15:00:00;66541
2000;1900-01-01 16:00:00;70629
2000;1900-01-01 17:00:00;73170
2000;1900-01-01 18:00:00;71982
2000;1900-01-01 19:00:00;70499
2000;1900-01-01 20:00:00;69973
2000;1900-01-01 21:00:00;73734
2000;1900-01-01 22:00:00;73960
2000;1900-01-01 23:00:00;72671
2000;1900-01-02 00:00:00;73720
2000;1900-01-02 01:00:00;70897
2000;1900-01-02 02:00:00;69838
2000;1900-01-02 03:00:00;66972
2000;1900-01-02 04:00:00;63972
2000;1900-01-02 05:00:00;68899
2000;1900-01-02 06:00:00;73083
2000;1900-01-02 07:00:00;76282
2000;1900-01-02 08:00:00;78727
2000;1900-01-02 09:00:00;78980
2000;1900-01-02 10:00:00;80204
2000;1900-01-02 11:00:00;80791
2000;1900-01-02 12:00:00;78802
2000;1900-01-02 13:00:00;77512
2000;1900-01-02 14:00:00;76235
2000;1900-01-02 15:00:00;77165
2000;1900-01-02 16:00:00;81583
2000;1900-01-02 17:00:00;83798
2000;1900-01-02 18:00:00;80896
2000;1900-01-02 19:00:00;77641
2000;1900-01-02 20:00:00;76784
2000;1900-01-02 21:00:00;80676
2000;1900-01-02 22:00:00;80385
2000;1900-01-02 23:00:00;78243
2000;1900-01-03 00:00:00;79257
2000;1900-01-03 01:00:00;76387
2000;1900-01-03 02:00:00;75265
2000;1900-01-03 03:00:00;72333
2000;1900-01-03 04:00:00;69786
2000;1900-01-03 05:00:00;75914
2000;1900-01-03 06:00:00;81340
2000;1900-01-03 07:00:00;83926
2000;1900-01-03 08:00:00;85238
2000;1900-01-03 09:00:00;84213
2000;1900-01-03 10:00:00;84114
2000;1900-01-03 11:00:00;83840
2000;1900-01-03 12:00:00;81737
2000;1900-01-03 13:00:00;80303
2000;1900-01-03 14:00:00;79041
2000;1900-01-03 15:00:00;80000
2000;1900-01-03 16:00:00;84882
2000;1900-01-03 17:00:00;87638
2000;1900-01-03 18:00:00;85166
2000;1900-01-03 19:00:00;81263
2000;1900-01-03 20:00:00;79834
2000;1900-01-03 21:00:00;83661
2000;1900-01-03 22:00:00;83420
2000;1900-01-03 23:00:00;79042
2000;1900-01-04 00:00:00;79985
2000;1900-01-04 01:00:00;76964
2000;1900-01-04 02:00:00;75689
2000;1900-01-04 03:00:00;72630
2000;1900-01-04 04:00:00;69958
2000;1900-01-04 05:00:00;75960
2000;1900-01-04 06:00:00;81106
2000;1900-01-04 07:00:00;83457
2000;1900-01-04 08:00:00;84566
2000;1900-01-04 09:00:00;83385
2000;1900-01-04 10:00:00;83359
2000;1900-01-04 11:00:00;82917
2000;1900-01-04 12:00:00;80880
2000;1900-01-04 13:00:00;79343
2000;1900-01-04 14:00:00;78035
2000;1900-01-04 15:00:00;78651
2000;1900-01-04 16:00:00;83063
2000;1900-01-04 17:00:00;85761
2000;1900-01-04 18:00:00;83243
