climatic_year;date;value
2000;1900-01-01 00:00:00;35524.85
2000;1900-01-01 01:00:00;33354.04
2000;1900-01-01 02:00:00;31336.05
2000;1900-01-01 03:00:00;29604.22
2000;1900-01-01 04:00:00;28328.08
2000;1900-01-01 05:00:00;26985.49
2000;1900-01-01 06:00:00;27372.44
2000;1900-01-01 07:00:00;29667.54
2000;1900-01-01 08:00:00;33171.49
2000;1900-01-01 09:00:00;36836.74
2000;1900-01-01 10:00:00;38729.47
2000;1900-01-01 11:00:00;39451.69
2000;1900-01-01 12:00:00;40468.67
2000;1900-01-01 13:00:00;39784.41
2000;1900-01-01 14:00:00;37872.97
2000;1900-01-01 15:00:00;36595.72
2000;1900-01-01 16:00:00;36921.77
2000;1900-01-01 17:00:00;40107.72
2000;1900-01-01 18:00:00;43956.91
2000;1900-01-01 19:00:00;46107.74
2000;1900-01-01 20:00:00;46724.39
2000;1900-01-01 21:00:00;44999.37
2000;1900-01-01 22:00:00;42047.42
2000;1900-01-01 23:00:00;40104.35
2000;1900-01-02 00:00:00;35595.71
2000;1900-01-02 01:00:00;33576.01
2000;1900-01-02 02:00:00;31772.31
2000;1900-01-02 03:00:00;30295.05
2000;1900-01-02 04:00:00;29704.07
2000;1900-01-02 05:00:00;29502.48
2000;1900-01-02 06:00:00;31089.49
2000;1900-01-02 07:00:00;34630.16
2000;1900-01-02 08:00:00;38907.18
2000;1900-01-02 09:00:00;42290.31
2000;1900-01-02 10:00:00;43698.04
2000;1900-01-02 11:00:00;44132.43
2000;1900-01-02 12:00:00;44444.76
2000;1900-01-02 13:00:00;43202.29
2000;1900-01-02 14:00:00;41298.70
2000;1900-01-02 15:00:00;40082.41
2000;1900-01-02 16:00:00;40049.89
2000;1900-01-02 17:00:00;42040.37
2000;1900-01-02 18:00:00;45022.68
2000;1900-01-02 19:00:00;47319.39
2000;1900-01-02 20:00:00;47749.77
2000;1900-01-02 21:00:00;45201.83
2000;1900-01-02 22:00:00;41809.57
2000;1900-01-02 23:00:00;39714.66
2000;1900-01-03 00:00:00;35956.06
2000;1900-01-03 01:00:00;33935.93
2000;1900-01-03 02:00:00;32121.56
2000;1900-01-03 03:00:00;30626.05
2000;1900-01-03 04:00:00;30021.66
2000;1900-01-03 05:00:00;29769.19
2000;1900-01-03 06:00:00;31261.24
2000;1900-01-03 07:00:00;34743.77
2000;1900-01-03 08:00:00;39054.81
2000;1900-01-03 09:00:00;42494.90
2000;1900-01-03 10:00:00;43976.76
2000;1900-01-03 11:00:00;44447.12
2000;1900-01-03 12:00:00;44797.72
2000;1900-01-03 13:00:00;43574.53
2000;1900-01-03 14:00:00;41674.19
2000;1900-01-03 15:00:00;40417.82
2000;1900-01-03 16:00:00;40411.63
2000;1900-01-03 17:00:00;42360.76
2000;1900-01-03 18:00:00;45273.22
2000;1900-01-03 19:00:00;47525.49
2000;1900-01-03 20:00:00;47954.00
2000;1900-01-03 21:00:00;45412.71
2000;1900-01-03 22:00:00;42034.03
2000;1900-01-03 23:00:00;39952.44
2000;1900-01-04 00:00:00;35546.63
2000;1900-01-04 01:00:00;33429.88
2000;1900-01-04 02:00:00;31567.90
2000;1900-01-04 03:00:00;30047.94
2000;1900-01-04 04:00:00;29459.21
2000;1900-01-04 05:00:00;29259.51
2000;1900-01-04 06:00:00;30853.87
2000;1900-01-04 07:00:00;34489.32
2000;1900-01-04 08:00:00;38950.12
2000;1900-01-04 09:00:00;42517.90
2000;1900-01-04 10:00:00;44091.17
2000;1900-01-04 11:00:00;44611.84
2000;1900-01-04 12:00:00;45040.50
2000;1900-01-04 13:00:00;43789.04
2000;1900-01-04 14:00:00;41864.04
2000;1900-01-04 15:00:00;40606.53
2000;1900-01-04 16:00:00;40533.47
2000;1900-01-04 17:00:00;42446.81
2000;1900-01-04 18:00:00;45352.53
2000;1900-01-04 19:00:00;47586.24
2000;1900-01-04 20:00:00;48033.68
2000;1900-01-04 21:00:00;45403.75
2000;1900-01-04 22:00:00;41909.92
2000;1900-01-04 23:00:00;39703.34
2000;1900-01-05 00:00:00;35878.40
2000;1900-01-05 01:00:00;33855.14
2000;1900-01-05 02:00:00;32014.89
2000;1900-01-05 03:00:00;30505.03
2000;1900-01-05 04:00:00;29892.81
2000;1900-01-05 05:00:00;29606.41
2000;1900-01-05 06:00:00;31061.42
2000;1900-01-05 07:00:00;34575.03
2000;1900-01-05 08:00:00;38935.90
2000;1900-01-05 09:00:00;42522.98
2000;1900-01-05 10:00:00;44187.40
2000;1900-01-05 11:00:00;44776.50
2000;1900-01-05 12:00:00;45301.17
2000;1900-01-05 13:00:00;44171.97
2000;1900-01-05 14:00:00;42337.53
2000;1900-01-05 15:00:00;41074.05
2000;1900-01-05 16:00:00;40986.60
2000;1900-01-05 17:00:00;42982.73
2000;1900-01-05 18:00:00;45829.51
2000;1900-01-05 19:00:00;47847.97
2000;1900-01-05 20:00:00;48234.65
2000;1900-01-05 21:00:00;45750.94
2000;1900-01-05 22:00:00;42364.38
2000;1900-01-05 23:00:00;40250.98
2000;1900-01-06 00:00:00;35624.53
2000;1900-01-06 01:00:00;33292.93
2000;1900-01-06 02:00:00;31223.13
2000;1900-01-06 03:00:00;29593.83
2000;1900-01-06 04:00:00;28502.26
2000;1900-01-06 05:00:00;27523.88
2000;1900-01-06 06:00:00;28378.52
2000;1900-01-06 07:00:00;31026.60
2000;1900-01-06 08:00:00;34624.15
2000;1900-01-06 09:00:00;38261.08
2000;1900-01-06 10:00:00;40169.66
2000;1900-01-06 11:00:00;40863.95
2000;1900-01-06 12:00:00;41891.14
2000;1900-01-06 13:00:00;41228.47
2000;1900-01-06 14:00:00;39309.44
2000;1900-01-06 15:00:00;38036.84
2000;1900-01-06 16:00:00;38293.13
2000;1900-01-06 17:00:00;41211.28
2000;1900-01-06 18:00:00;44796.91
2000;1900-01-06 19:00:00;46853.17
2000;1900-01-06 20:00:00;47401.70
2000;1900-01-06 21:00:00;45563.70
2000;1900-01-06 22:00:00;42467.58
2000;1900-01-06 23:00:00;40072.34
2000;1900-01-07 00:00:00;35104.20
2000;1900-01-07 01:00:00;32994.13
2000;1900-01-07 02:00:00;31156.51
2000;1900-01-07 03:00:00;29748.40
2000;1900-01-07 04:00:00;29181.69
2000;1900-01-07 05:00:00;28998.06
2000;1900-01-07 06:00:00;30361.52
2000;1900-01-07 07:00:00;33298.59
2000;1900-01-07 08:00:00;37003.33
2000;1900-01-07 09:00:00;40279.48
2000;1900-01-07 10:00:00;41778.83
2000;1900-01-07 11:00:00;42278.01
2000;1900-01-07 12:00:00;42820.25
2000;1900-01-07 13:00:00;41528.18
2000;1900-01-07 14:00:00;39441.35
2000;1900-01-07 15:00:00;38201.69
2000;1900-01-07 16:00:00;38225.45
2000;1900-01-07 17:00:00;40327.27
2000;1900-01-07 18:00:00;43419.50
2000;1900-01-07 19:00:00;45719.21
2000;1900-01-07 20:00:00;46105.28
2000;1900-01-07 21:00:00;43738.77
2000;1900-01-07 22:00:00;40636.46
2000;1900-01-07 23:00:00;38503.02
2000;1900-01-08 00:00:00;38159.95
2000;1900-01-08 01:00:00;36183.81
2000;1900-01-08 02:00:00;34609.03
2000;1900-01-08 03:00:00;33567.70
2000;1900-01-08 04:00:00;34285.88
2000;1900-01-08 05:00:00;36964.56
2000;1900-01-08 06:00:00;41950.59
2000;1900-01-08 07:00:00;47286.40
2000;1900-01-08 08:00:00;51310.41
2000;1900-01-08 09:00:00;53731.55
2000;1900-01-08 10:00:00;54466.33
2000;1900-01-08 11:00:00;54560.12
2000;1900-01-08 12:00:00;54322.22
2000;1900-01-08 13:00:00;52455.20
2000;1900-01-08 14:00:00;50495.10
2000;1900-01-08 15:00:00;49609.93
2000;1900-01-08 16:00:00;49699.58
2000;1900-01-08 17:00:00;51792.78
2000;1900-01-08 18:00:00;55227.85
2000;1900-01-08 19:00:00;57579.36
2000;1900-01-08 20:00:00;56673.00
2000;1900-01-08 21:00:00;52074.20
2000;1900-01-08 22:00:00;47219.10
2000;1900-01-08 23:00:00;44380.95
2000;1900-01-09 00:00:00;38270.70
2000;1900-01-09 01:00:00;36293.87
2000;1900-01-09 02:00:00;34740.44
2000;1900-01-09 03:00:00;33731.46
2000;1900-01-09 04:00:00;34495.81
2000;1900-01-09 05:00:00;37134.05
2000;1900-01-09 06:00:00;41986.57
2000;1900-01-09 07:00:00;47265.93
2000;1900-01-09 08:00:00;51287.73
2000;1900-01-09 09:00:00;53744.32
2000;1900-01-09 10:00:00;54620.72
2000;1900-01-09 11:00:00;54778.01
2000;1900-01-09 12:00:00;54656.87
2000;1900-01-09 13:00:00;52871.14
2000;1900-01-09 14:00:00;50957.39
2000;1900-01-09 15:00:00;50100.60
2000;1900-01-09 16:00:00;50169.60
2000;1900-01-09 17:00:00;52203.41
2000;1900-01-09 18:00:00;55456.91
2000;1900-01-09 19:00:00;57652.17
2000;1900-01-09 20:00:00;56734.56
2000;1900-01-09 21:00:00;52129.82
2000;1900-01-09 22:00:00;47305.06
2000;1900-01-09 23:00:00;44533.62
2000;1900-01-10 00:00:00;37979.45
2000;1900-01-10 01:00:00;36001.51
2000;1900-01-10 02:00:00;34460.16
2000;1900-01-10 03:00:00;33439.20
2000;1900-01-10 04:00:00;34162.28
2000;1900-01-10 05:00:00;36787.40
2000;1900-01-10 06:00:00;41639.79
2000;1900-01-10 07:00:00;46886.43
2000;1900-01-10 08:00:00;50927.74
2000;1900-01-10 09:00:00;53325.47
2000;1900-01-10 10:00:00;54144.18
2000;1900-01-10 11:00:00;54136.49
2000;1900-01-10 12:00:00;53912.39
2000;1900-01-10 13:00:00;52085.27
2000;1900-01-10 14:00:00;50211.75
2000;1900-01-10 15:00:00;49336.42
2000;1900-01-10 16:00:00;49488.14
2000;1900-01-10 17:00:00;51758.09
2000;1900-01-10 18:00:00;55247.98
2000;1900-01-10 19:00:00;57602.76
2000;1900-01-10 20:00:00;56605.42
2000;1900-01-10 21:00:00;52030.78
2000;1900-01-10 22:00:00;47197.80
2000;1900-01-10 23:00:00;44385.09
2000;1900-01-11 00:00:00;38149.00
2000;1900-01-11 01:00:00;36113.58
2000;1900-01-11 02:00:00;34535.44
2000;1900-01-11 03:00:00;33520.09
2000;1900-01-11 04:00:00;34250.80
2000;1900-01-11 05:00:00;36952.45
2000;1900-01-11 06:00:00;41977.03
2000;1900-01-11 07:00:00;47311.47
2000;1900-01-11 08:00:00;51350.59
2000;1900-01-11 09:00:00;53767.81
2000;1900-01-11 10:00:00;54536.48
2000;1900-01-11 11:00:00;54518.69
2000;1900-01-11 12:00:00;54264.52
2000;1900-01-11 13:00:00;52423.96
2000;1900-01-11 14:00:00;50534.53
2000;1900-01-11 15:00:00;49612.84
2000;1900-01-11 16:00:00;49808.01
2000;1900-01-11 17:00:00;51994.62
2000;1900-01-11 18:00:00;55580.50
2000;1900-01-11 19:00:00;57977.17
2000;1900-01-11 20:00:00;56969.51
2000;1900-01-11 21:00:00;52344.58
2000;1900-01-11 22:00:00;47453.60
2000;1900-01-11 23:00:00;44546.44
2000;1900-01-12 00:00:00;38379.23
2000;1900-01-12 01:00:00;36296.89
2000;1900-01-12 02:00:00;34699.99
2000;1900-01-12 03:00:00;33679.91
2000;1900-01-12 04:00:00;34442.69
