climatic_year;date;value
2000;1900-01-01 00:00:00;28354.21
2000;1900-01-01 01:00:00;25642.12
2000;1900-01-01 02:00:00;24102.85
2000;1900-01-01 03:00:00;23417.58
2000;1900-01-01 04:00:00;23429.98
2000;1900-01-01 05:00:00;25541.81
2000;1900-01-01 06:00:00;29374.02
2000;1900-01-01 07:00:00;32225.00
2000;1900-01-01 08:00:00;34652.95
2000;1900-01-01 09:00:00;36549.41
2000;1900-01-01 10:00:00;36704.25
2000;1900-01-01 11:00:00;35708.95
2000;1900-01-01 12:00:00;33577.34
2000;1900-01-01 13:00:00;33058.89
2000;1900-01-01 14:00:00;33182.75
2000;1900-01-01 15:00:00;34946.05
2000;1900-01-01 16:00:00;39127.16
2000;1900-01-01 17:00:00;40605.58
2000;1900-01-01 18:00:00;41268.36
2000;1900-01-01 19:00:00;40918.36
2000;1900-01-01 20:00:00;41362.19
2000;1900-01-01 21:00:00;38392.05
2000;1900-01-01 22:00:00;35539.41
2000;1900-01-01 23:00:00;32354.33
2000;1900-01-02 00:00:00;35257.65
2000;1900-01-02 01:00:00;31449.06
2000;1900-01-02 02:00:00;29326.75
2000;1900-01-02 03:00:00;28330.41
2000;1900-01-02 04:00:00;29174.11
2000;1900-01-02 05:00:00;32917.71
2000;1900-01-02 06:00:00;38834.08
2000;1900-01-02 07:00:00;43438.80
2000;1900-01-02 08:00:00;45876.86
2000;1900-01-02 09:00:00;47593.05
2000;1900-01-02 10:00:00;46570.56
2000;1900-01-02 11:00:00;45170.66
2000;1900-01-02 12:00:00;43587.22
2000;1900-01-02 13:00:00;43522.35
2000;1900-01-02 14:00:00;43663.89
2000;1900-01-02 15:00:00;45165.41
2000;1900-01-02 16:00:00;48829.65
2000;1900-01-02 17:00:00;50106.78
2000;1900-01-02 18:00:00;49916.65
2000;1900-01-02 19:00:00;48050.63
2000;1900-01-02 20:00:00;48045.39
2000;1900-01-02 21:00:00;44496.24
2000;1900-01-02 22:00:00;41560.19
2000;1900-01-02 23:00:00;38245.60
2000;1900-01-03 00:00:00;35503.59
2000;1900-01-03 01:00:00;31701.06
2000;1900-01-03 02:00:00;29628.87
2000;1900-01-03 03:00:00;28717.66
2000;1900-01-03 04:00:00;29592.11
2000;1900-01-03 05:00:00;33313.10
2000;1900-01-03 06:00:00;39112.30
2000;1900-01-03 07:00:00;43599.12
2000;1900-01-03 08:00:00;45974.61
2000;1900-01-03 09:00:00;47591.96
2000;1900-01-03 10:00:00;46627.91
2000;1900-01-03 11:00:00;45028.78
2000;1900-01-03 12:00:00;43507.11
2000;1900-01-03 13:00:00;43352.21
2000;1900-01-03 14:00:00;43319.52
2000;1900-01-03 15:00:00;44796.59
2000;1900-01-03 16:00:00;48630.18
2000;1900-01-03 17:00:00;50405.42
2000;1900-01-03 18:00:00;50075.69
2000;1900-01-03 19:00:00;48003.11
