climatic_year;date;value
2000;1900-01-01 00:00:00;18115.50
2000;1900-01-01 01:00:00;17866.84
2000;1900-01-01 02:00:00;17785.72
2000;1900-01-01 03:00:00;18226.83
2000;1900-01-01 04:00:00;17563.14
2000;1900-01-01 05:00:00;20107.79
2000;1900-01-01 06:00:00;20876.53
2000;1900-01-01 07:00:00;22202.01
2000;1900-01-01 08:00:00;23379.37
2000;1900-01-01 09:00:00;24148.22
2000;1900-01-01 10:00:00;24264.93
2000;1900-01-01 11:00:00;24130.09
2000;1900-01-01 12:00:00;23990.58
2000;1900-01-01 13:00:00;23550.64
2000;1900-01-01 14:00:00;23395.84
2000;1900-01-01 15:00:00;24214.98
2000;1900-01-01 16:00:00;24172.48
2000;1900-01-01 17:00:00;23943.82
2000;1900-01-01 18:00:00;23863.35
2000;1900-01-01 19:00:00;23250.13
2000;1900-01-01 20:00:00;22202.05
2000;1900-01-01 21:00:00;21126.63
2000;1900-01-01 22:00:00;19450.10
2000;1900-01-01 23:00:00;21577.40
2000;1900-01-02 00:00:00;21101.28
2000;1900-01-02 01:00:00;20703.98
2000;1900-01-02 02:00:00;20537.36
2000;1900-01-02 03:00:00;20883.93
2000;1900-01-02 04:00:00;21565.67
2000;1900-01-02 05:00:00;23314.88
2000;1900-01-02 06:00:00;25032.51
2000;1900-01-02 07:00:00;26197.47
2000;1900-01-02 08:00:00;27182.53
2000;1900-01-02 09:00:00;27868.06
2000;1900-01-02 10:00:00;27964.98
2000;1900-01-02 11:00:00;27754.28
2000;1900-01-02 12:00:00;27523.58
2000;1900-01-02 13:00:00;27188.67
2000;1900-01-02 14:00:00;27053.09
2000;1900-01-02 15:00:00;27722.75
2000;1900-01-02 16:00:00;27655.29
2000;1900-01-02 17:00:00;27523.93
2000;1900-01-02 18:00:00;27383.08
2000;1900-01-02 19:00:00;26995.40
2000;1900-01-02 20:00:00;26083.12
2000;1900-01-02 21:00:00;25032.54
2000;1900-01-02 22:00:00;23385.66
2000;1900-01-02 23:00:00;21787.59
2000;1900-01-03 00:00:00;21211.60
2000;1900-01-03 01:00:00;20745.02
2000;1900-01-03 02:00:00;20606.59
2000;1900-01-03 03:00:00;20788.25
2000;1900-01-03 04:00:00;21517.61
2000;1900-01-03 05:00:00;23362.27
2000;1900-01-03 06:00:00;25015.42
2000;1900-01-03 07:00:00;25809.44
2000;1900-01-03 08:00:00;26313.03
2000;1900-01-03 09:00:00;26721.57
2000;1900-01-03 10:00:00;26800.88
2000;1900-01-03 11:00:00;26676.29
2000;1900-01-03 12:00:00;26540.16
2000;1900-01-03 13:00:00;26314.89
2000;1900-01-03 14:00:00;26361.48
2000;1900-01-03 15:00:00;27120.14
2000;1900-01-03 16:00:00;26971.00
2000;1900-01-03 17:00:00;26884.03
2000;1900-01-03 18:00:00;26876.98
2000;1900-01-03 19:00:00;26453.74
2000;1900-01-03 20:00:00;25575.19
2000;1900-01-03 21:00:00;24551.78
2000;1900-01-03 22:00:00;22995.40
2000;1900-01-03 23:00:00;21590.18
2000;1900-01-04 00:00:00;21036.85
2000;1900-01-04 01:00:00;20608.06
2000;1900-01-04 02:00:00;20492.96
2000;1900-01-04 03:00:00;20733.38
2000;1900-01-04 04:00:00;21498.61
2000;1900-01-04 05:00:00;23399.84
2000;1900-01-04 06:00:00;25051.29
2000;1900-01-04 07:00:00;25913.91
2000;1900-01-04 08:00:00;26451.16
2000;1900-01-04 09:00:00;26830.44
2000;1900-01-04 10:00:00;26854.78
2000;1900-01-04 11:00:00;26675.40
2000;1900-01-04 12:00:00;26492.73
2000;1900-01-04 13:00:00;26222.36
2000;1900-01-04 14:00:00;26203.36
2000;1900-01-04 15:00:00;26947.63
2000;1900-01-04 16:00:00;26789.72
2000;1900-01-04 17:00:00;26691.79
2000;1900-01-04 18:00:00;26647.90
2000;1900-01-04 19:00:00;26247.75
2000;1900-01-04 20:00:00;25367.71
2000;1900-01-04 21:00:00;24348.21
2000;1900-01-04 22:00:00;22770.25
2000;1900-01-04 23:00:00;20691.61
2000;1900-01-05 00:00:00;20123.79
2000;1900-01-05 01:00:00;19706.07
2000;1900-01-05 02:00:00;19631.97
2000;1900-01-05 03:00:00;19868.17
2000;1900-01-05 04:00:00;20676.51
2000;1900-01-05 05:00:00;22647.61
2000;1900-01-05 06:00:00;24350.48
2000;1900-01-05 07:00:00;25172.93
2000;1900-01-05 08:00:00;25648.51
2000;1900-01-05 09:00:00;26019.48
2000;1900-01-05 10:00:00;26083.99
2000;1900-01-05 11:00:00;25972.01
2000;1900-01-05 12:00:00;25816.07
2000;1900-01-05 13:00:00;25520.91
2000;1900-01-05 14:00:00;25466.94
2000;1900-01-05 15:00:00;26214.83
