climatic_year;date;value
2000;1900-01-01 00:00:00;61831.01
2000;1900-01-01 01:00:00;58789.61
2000;1900-01-01 02:00:00;58016.75
2000;1900-01-01 03:00:00;58041.64
2000;1900-01-01 04:00:00;59076.34
2000;1900-01-01 05:00:00;62047.49
2000;1900-01-01 06:00:00;66470.56
2000;1900-01-01 07:00:00;68872.60
2000;1900-01-01 08:00:00;69289.88
2000;1900-01-01 09:00:00;70046.82
2000;1900-01-01 10:00:00;70423.84
2000;1900-01-01 11:00:00;70613.68
2000;1900-01-01 12:00:00;70642.46
2000;1900-01-01 13:00:00;71163.71
2000;1900-01-01 14:00:00;72154.64
2000;1900-01-01 15:00:00;73124.02
2000;1900-01-01 16:00:00;73264.78
2000;1900-01-01 17:00:00;72890.80
2000;1900-01-01 18:00:00;72195.91
2000;1900-01-01 19:00:00;70577.68
2000;1900-01-01 20:00:00;69318.75
2000;1900-01-01 21:00:00;66998.60
2000;1900-01-01 22:00:00;65105.25
2000;1900-01-01 23:00:00;62706.08
2000;1900-01-02 00:00:00;62281.52
2000;1900-01-02 01:00:00;61495.61
2000;1900-01-02 02:00:00;60834.04
2000;1900-01-02 03:00:00;61126.21
2000;1900-01-02 04:00:00;63487.38
2000;1900-01-02 05:00:00;67456.81
2000;1900-01-02 06:00:00;71995.28
2000;1900-01-02 07:00:00;73848.83
2000;1900-01-02 08:00:00;73642.34
2000;1900-01-02 09:00:00;73702.69
2000;1900-01-02 10:00:00;72900.09
2000;1900-01-02 11:00:00;72854.64
2000;1900-01-02 12:00:00;72848.30
2000;1900-01-02 13:00:00;73516.68
2000;1900-01-02 14:00:00;74409.09
2000;1900-01-02 15:00:00;75556.76
2000;1900-01-02 16:00:00;75792.79
2000;1900-01-02 17:00:00;74836.85
2000;1900-01-02 18:00:00;73805.67
2000;1900-01-02 19:00:00;71844.37
2000;1900-01-02 20:00:00;70091.37
2000;1900-01-02 21:00:00;67613.50
2000;1900-01-02 22:00:00;65527.80
2000;1900-01-02 23:00:00;62990.59
2000;1900-01-03 00:00:00;61342.92
2000;1900-01-03 01:00:00;60618.99
2000;1900-01-03 02:00:00;60184.41
2000;1900-01-03 03:00:00;60569.70
2000;1900-01-03 04:00:00;62758.73
2000;1900-01-03 05:00:00;67344.69
2000;1900-01-03 06:00:00;71942.89
2000;1900-01-03 07:00:00;73673.20
2000;1900-01-03 08:00:00;73368.17
2000;1900-01-03 09:00:00;73463.56
2000;1900-01-03 10:00:00;73268.08
2000;1900-01-03 11:00:00;73153.43
2000;1900-01-03 12:00:00;73106.10
2000;1900-01-03 13:00:00;73369.33
2000;1900-01-03 14:00:00;74000.69
2000;1900-01-03 15:00:00;74951.16
2000;1900-01-03 16:00:00;75319.68
2000;1900-01-03 17:00:00;74483.72
2000;1900-01-03 18:00:00;73331.02
2000;1900-01-03 19:00:00;71368.74
2000;1900-01-03 20:00:00;69540.70
2000;1900-01-03 21:00:00;67080.52
2000;1900-01-03 22:00:00;64818.22
2000;1900-01-03 23:00:00;62383.54
2000;1900-01-04 00:00:00;61227.44
2000;1900-01-04 01:00:00;60555.30
2000;1900-01-04 02:00:00;60184.13
2000;1900-01-04 03:00:00;60732.12
2000;1900-01-04 04:00:00;63014.35
2000;1900-01-04 05:00:00;67436.32
2000;1900-01-04 06:00:00;72022.43
2000;1900-01-04 07:00:00;73884.80
2000;1900-01-04 08:00:00;76000.25
2000;1900-01-04 09:00:00;75932.94
2000;1900-01-04 10:00:00;75009.08
2000;1900-01-04 11:00:00;74354.69
2000;1900-01-04 12:00:00;74169.86
2000;1900-01-04 13:00:00;74632.06
2000;1900-01-04 14:00:00;75973.18
2000;1900-01-04 15:00:00;77715.16
2000;1900-01-04 16:00:00;78122.05
2000;1900-01-04 17:00:00;77704.88
2000;1900-01-04 18:00:00;76495.97
2000;1900-01-04 19:00:00;74516.64
2000;1900-01-04 20:00:00;72614.59
2000;1900-01-04 21:00:00;70149.82
