zone;production_type;power_capacity;power_capacity_turbine;power_capacity_pumping;power_capacity_injection;power_capacity_offtake;energy_capacity
benelux;Batteries;0.00;0.00;0.00;2591.00;2591.00;7865.20
benelux;Biofuel;2088.16;0.00;0.00;0.00;0.00;0.00
benelux;Demand Side Response capacity;2665.24;0.00;0.00;0.00;0.00;0.00
benelux;Gas ;18500.90;0.00;0.00;0.00;0.00;0.00
benelux;Hard Coal;2670.99;0.00;0.00;0.00;0.00;0.00
benelux;Hydro - Pondage;0.00;0.00;0.00;0.00;0.00;0.00
benelux;Hydro - Pump Storage Closed Loop;0.00;1278.00;-1201.18;0.00;0.00;5800.00
benelux;Hydro - Pump Storage Open Loop;0.00;0.00;0.00;0.00;0.00;0.00
benelux;Hydro - Reservoir;0.00;0.00;0.00;0.00;0.00;0.00
benelux;Hydro - Run of River;0.00;170.00;0.00;0.00;0.00;0.00
benelux;Lignite;0.00;0.00;0.00;0.00;0.00;0.00
benelux;Nuclear;4415.00;0.00;0.00;0.00;0.00;0.00
benelux;Oil;140.00;0.00;0.00;0.00;0.00;0.00
benelux;Others non-renewable;5705.75;0.00;0.00;0.00;0.00;0.00
benelux;Others renewable;1009.62;0.00;0.00;0.00;0.00;0.00
benelux;Solar (Photovoltaic);47892.74;0.00;0.00;0.00;0.00;0.00
benelux;Solar (Thermal);0.00;0.00;0.00;0.00;0.00;0.00
benelux;Wind Offshore;8399.00;0.00;0.00;0.00;0.00;0.00
benelux;Wind Onshore;10898.05;0.00;0.00;0.00;0.00;0.00
france;Batteries;0.00;0.00;0.00;470.00;470.00;940.00
france;Biofuel;0.00;0.00;0.00;0.00;0.00;0.00
france;Demand Side Response capacity;4200.00;0.00;0.00;0.00;0.00;0.00
france;Gas ;7189.00;0.00;0.00;0.00;0.00;0.00
france;Hard Coal;0.00;0.00;0.00;0.00;0.00;0.00
france;Hydro - Pondage;0.00;0.00;0.00;0.00;0.00;0.00
france;Hydro - Pump Storage Closed Loop;0.00;1950.00;-1950.00;0.00;0.00;10000.00
france;Hydro - Pump Storage Open Loop;0.00;1850.00;-1850.00;0.00;0.00;90000.00
france;Hydro - Reservoir;0.00;9539.00;0.00;0.00;0.00;10000000.00
france;Hydro - Run of River;0.00;13600.00;0.00;0.00;0.00;0.00
france;Lignite;0.00;0.00;0.00;0.00;0.00;0.00
france;Nuclear;61761.00;0.00;0.00;0.00;0.00;0.00
france;Oil;1331.00;0.00;0.00;0.00;0.00;0.00
france;Others non-renewable;5799.60;0.00;0.00;0.00;0.00;0.00
france;Others renewable;2265.00;0.00;0.00;0.00;0.00;0.00
france;Solar (Photovoltaic);18184.99;0.00;0.00;0.00;0.00;0.00
france;Solar (Thermal);0.00;0.00;0.00;0.00;0.00;0.00
france;Wind Offshore;2015.00;0.00;0.00;0.00;0.00;0.00
france;Wind Onshore;24058.99;0.00;0.00;0.00;0.00;0.00
