climatic_year;date;value
2000;1900-01-01 00:00:00;52507.77
2000;1900-01-01 01:00:00;50398.55
2000;1900-01-01 02:00:00;49991.45
2000;1900-01-01 03:00:00;50277.04
2000;1900-01-01 04:00:00;51408.94
2000;1900-01-01 05:00:00;53689.35
2000;1900-01-01 06:00:00;57297.78
2000;1900-01-01 07:00:00;59176.19
2000;1900-01-01 08:00:00;59229.45
2000;1900-01-01 09:00:00;59966.64
2000;1900-01-01 10:00:00;60161.00
2000;1900-01-01 11:00:00;60354.94
2000;1900-01-01 12:00:00;60306.56
2000;1900-01-01 13:00:00;60596.52
2000;1900-01-01 14:00:00;61354.26
2000;1900-01-01 15:00:00;62073.45
2000;1900-01-01 16:00:00;62146.06
2000;1900-01-01 17:00:00;61629.18
2000;1900-01-01 18:00:00;60643.42
2000;1900-01-01 19:00:00;59155.34
2000;1900-01-01 20:00:00;58163.01
2000;1900-01-01 21:00:00;56210.54
2000;1900-01-01 22:00:00;54095.87
2000;1900-01-01 23:00:00;52147.01
2000;1900-01-02 00:00:00;51841.19
2000;1900-01-02 01:00:00;51321.29
2000;1900-01-02 02:00:00;50999.46
2000;1900-01-02 03:00:00;51509.58
2000;1900-01-02 04:00:00;53820.16
2000;1900-01-02 05:00:00;57079.74
2000;1900-01-02 06:00:00;60753.43
2000;1900-01-02 07:00:00;62119.29
2000;1900-01-02 08:00:00;61602.80
2000;1900-01-02 09:00:00;61831.60
2000;1900-01-02 10:00:00;61262.17
2000;1900-01-02 11:00:00;61360.55
2000;1900-01-02 12:00:00;61345.30
2000;1900-01-02 13:00:00;61771.96
2000;1900-01-02 14:00:00;62438.90
2000;1900-01-02 15:00:00;63287.56
2000;1900-01-02 16:00:00;63439.53
2000;1900-01-02 17:00:00;62475.24
2000;1900-01-02 18:00:00;61257.74
2000;1900-01-02 19:00:00;59450.55
2000;1900-01-02 20:00:00;58123.55
2000;1900-01-02 21:00:00;56029.00
2000;1900-01-02 22:00:00;54056.57
2000;1900-01-02 23:00:00;52037.24
2000;1900-01-03 00:00:00;50716.65
2000;1900-01-03 01:00:00;50206.91
2000;1900-01-03 02:00:00;50347.68
2000;1900-01-03 03:00:00;50952.75
2000;1900-01-03 04:00:00;53105.12
2000;1900-01-03 05:00:00;57245.84
2000;1900-01-03 06:00:00;61155.46
2000;1900-01-03 07:00:00;62487.19
2000;1900-01-03 08:00:00;62110.49
2000;1900-01-03 09:00:00;62401.50
2000;1900-01-03 10:00:00;61972.10
2000;1900-01-03 11:00:00;61928.18
2000;1900-01-03 12:00:00;61828.99
2000;1900-01-03 13:00:00;61978.00
2000;1900-01-03 14:00:00;62330.85
2000;1900-01-03 15:00:00;62982.87
2000;1900-01-03 16:00:00;63979.79
2000;1900-01-03 17:00:00;63058.36
2000;1900-01-03 18:00:00;61775.06
2000;1900-01-03 19:00:00;59901.83
2000;1900-01-03 20:00:00;58233.72
2000;1900-01-03 21:00:00;56060.94
2000;1900-01-03 22:00:00;53711.26
2000;1900-01-03 23:00:00;51678.46
2000;1900-01-04 00:00:00;50375.46
2000;1900-01-04 01:00:00;49835.52
2000;1900-01-04 02:00:00;49736.61
2000;1900-01-04 03:00:00;50380.50
2000;1900-01-04 04:00:00;52465.85
2000;1900-01-04 05:00:00;56061.40
2000;1900-01-04 06:00:00;59747.70
2000;1900-01-04 07:00:00;61114.37
2000;1900-01-04 08:00:00;62605.65
2000;1900-01-04 09:00:00;62746.43
2000;1900-01-04 10:00:00;62210.72
2000;1900-01-04 11:00:00;61788.92
2000;1900-01-04 12:00:00;61705.15
2000;1900-01-04 13:00:00;62062.16
2000;1900-01-04 14:00:00;63333.06
2000;1900-01-04 15:00:00;64944.60
2000;1900-01-04 16:00:00;65272.63
2000;1900-01-04 17:00:00;64918.75
2000;1900-01-04 18:00:00;63610.89
2000;1900-01-04 19:00:00;61692.47
2000;1900-01-04 20:00:00;60242.44
2000;1900-01-04 21:00:00;58179.59
2000;1900-01-04 22:00:00;56146.93
2000;1900-01-04 23:00:00;53967.62
2000;1900-01-05 00:00:00;52610.53
2000;1900-01-05 01:00:00;51925.42
2000;1900-01-05 02:00:00;51989.97
2000;1900-01-05 03:00:00;52783.80
2000;1900-01-05 04:00:00;54883.60
2000;1900-01-05 05:00:00;58592.67
2000;1900-01-05 06:00:00;62528.26
2000;1900-01-05 07:00:00;64171.60
2000;1900-01-05 08:00:00;64215.63
2000;1900-01-05 09:00:00;64615.38
2000;1900-01-05 10:00:00;63642.89
2000;1900-01-05 11:00:00;62937.13
2000;1900-01-05 12:00:00;62280.94
2000;1900-01-05 13:00:00;62326.34
2000;1900-01-05 14:00:00;63529.23
2000;1900-01-05 15:00:00;64845.45
2000;1900-01-05 16:00:00;65143.29
